tau,RMSE
1.3,10.883064436749093
1.31,10.704576860472445
1.32,10.534191056379658
1.33,10.371903845066822
1.34,10.217708004130845
1.35,10.071588871321644
1.36,9.933525929586803
1.37,9.803498754526633
1.38,9.681474821103992
1.39,9.567413122689173
1.4,9.461263417795227
1.41,9.362965560729753
1.42,9.272448932307165
1.43,9.189631985393875
1.44,9.114421918068357
1.45,9.046714484595647
1.46,8.986393970835502
1.47,8.933333423072066
1.48,8.887394419319264
1.49,8.848427978914067
1.5,8.816274923321865
1.51,8.79076653715596
1.52,8.771725341383226
1.53,8.758965962261133
1.54,8.752296077723502
1.55,8.751517421793862
1.56,8.756426827160617
1.57,8.76681728629721
1.58,8.782479012357992
1.59,8.80320048246506
1.6,8.828769447800923
1.61,8.858973897034671
1.62,8.893602961889371
1.63,8.932447756042077
1.64,8.975302140880732
1.65,9.021963413884084
1.66,9.072232917449227
1.67,9.125916567843763
1.68,9.182825305533935
1.69,9.242775469485428
1.7,9.305589099086781
1.71,9.371094168156466
1.72,9.439124756073678
1.73,9.509521161436547
1.74,9.582129963831862
1.75,9.656804039334764
1.76,9.733402535251399
1.77,9.811790809425501
1.78,9.891840339158602
1.79,9.973428604463674
1.8,10.056438950018666
1.81,10.140760429800329
1.82,10.226287638006578
1.83,10.312920529479438
1.84,10.40056423248901
1.85,10.489128856378118
1.86,10.578529296243142
1.87,10.66868503652321
1.88,10.759519955089456
1.89,10.850962129173721
1.9,10.942943644254262
1.91,11.035400406801644
1.92,11.128271961628396
1.93,11.221501314406073
1.94,11.315034759797795
1.95,11.408821715524464
1.96,11.502814562579283
1.97,11.596968491735344
1.98,11.691241356391469
1.99,11.78559353177076
2.0,11.879987780411865
